s_qy,u_H,s_kl,loss,u_kl,step,u_py,u_lpx,u_acc,s_H,epoch,s_py,s_acc,s_lpx
-2.549652338027954,2.18937087059021,3.5448622703552246,26.738718032836914,3.577026844024658,49,-2.3025851249694824,-22.674541473388672,0.1283082216978073,2.1918725967407227,0,-2.3025851249694824,0.11509834975004196,-22.51714515686035
-2.3800501823425293,2.2294366359710693,2.224514961242676,24.81877326965332,2.243680953979492,99,-2.3025851249694824,-22.140300750732422,0.28867390751838684,2.230883836746216,0,-2.3025851249694824,0.27306172251701355,-22.05109214782715
-2.2456376552581787,2.251169443130493,1.408758521080017,23.614961624145508,1.4208917617797852,149,-2.3025851249694824,-21.795400619506836,0.44886839389801025,2.2522950172424316,0,-2.3025851249694824,0.43187206983566284,-21.737150192260742
-2.1331191062927246,2.2608139514923096,0.9124891757965088,22.901750564575195,0.9199247360229492,199,-2.3025851249694824,-21.608980178833008,0.5602395534515381,2.2612578868865967,0,-2.3025851249694824,0.552217423915863,-21.55906105041504
-2.044135332107544,2.263221263885498,0.6107074618339539,22.448623657226562,0.616813600063324,249,-2.3025851249694824,-21.483484268188477,0.6427394151687622,2.2636640071868896,1,-2.3025851249694824,0.6389661431312561,-21.3564453125
-1.9696850776672363,2.2608120441436768,0.4310725927352905,22.179275512695312,0.4343053996562958,299,-2.3025851249694824,-21.41320037841797,0.7044922113418579,2.2610459327697754,1,-2.3025851249694824,0.6902498006820679,-21.278949737548828
-1.9009363651275635,2.255021810531616,0.3230256140232086,22.01459312438965,0.3259464502334595,349,-2.3025851249694824,-21.374914169311523,0.7511772513389587,2.254997491836548,1,-2.3025851249694824,0.7406535148620605,-21.190656661987305
-1.8383457660675049,2.2461094856262207,0.25880300998687744,21.893817901611328,0.2625083923339844,399,-2.3025851249694824,-21.33622169494629,0.7806453108787537,2.2463488578796387,1,-2.3025851249694824,0.7765887379646301,-21.08383560180664
-1.7798265218734741,2.2351303100585938,0.22226789593696594,21.81599235534668,0.22729909420013428,449,-2.3025851249694824,-21.312944412231445,0.8039348721504211,2.234877109527588,2,-2.3025851249694824,0.7915387153625488,-20.9993839263916
-1.7170257568359375,2.2218611240386963,0.20220890641212463,21.76047134399414,0.20834296941757202,499,-2.3025851249694824,-21.296274185180664,0.8199823498725891,2.220371961593628,2,-2.3025851249694824,0.8110532760620117,-20.929006576538086
-1.6715904474258423,2.2056915760040283,0.19213777780532837,21.749441146850586,0.20018582046031952,549,-2.3025851249694824,-21.314109802246094,0.8273747563362122,2.20564866065979,2,-2.3025851249694824,0.8143795132637024,-20.887128829956055
-1.619607925415039,2.1888201236724854,0.18724355101585388,21.71425437927246,0.19902923703193665,599,-2.3025851249694824,-21.305017471313477,0.834855854511261,2.189594268798828,2,-2.3025851249694824,0.8287485241889954,-20.788612365722656
-1.555878758430481,2.1687443256378174,0.18718726933002472,21.694765090942383,0.20067371428012848,649,-2.3025851249694824,-21.309328079223633,0.8397940993309021,2.1651835441589355,3,-2.3025851249694824,0.8369956016540527,-20.76860237121582
-1.5004379749298096,2.145550489425659,0.18800124526023865,21.67156982421875,0.2051955610513687,699,-2.3025851249694824,-21.316118240356445,0.8454269170761108,2.141700029373169,3,-2.3025851249694824,0.8433430790901184,-20.652725219726562
-1.455789566040039,2.1183948516845703,0.19041739404201508,21.687284469604492,0.21128402650356293,749,-2.3025851249694824,-21.359167098999023,0.8491900563240051,2.1181983947753906,3,-2.3025851249694824,0.8342404961585999,-20.605741500854492
-1.4087021350860596,2.089815139770508,0.19576498866081238,21.657297134399414,0.21848681569099426,799,-2.3025851249694824,-21.36100196838379,0.8536931872367859,2.092670202255249,3,-2.3025851249694824,0.8381593823432922,-20.519763946533203
-1.3485649824142456,2.0559322834014893,0.19737383723258972,21.635549545288086,0.2247946709394455,849,-2.3025851249694824,-21.37833595275879,0.8570988178253174,2.0574300289154053,4,-2.3025851249694824,0.8456991314888,-20.408823013305664
-1.2885936498641968,2.0172836780548096,0.20032301545143127,21.61550521850586,0.2320195734500885,899,-2.3025851249694824,-21.405132293701172,0.8619878888130188,2.017439603805542,4,-2.3025851249694824,0.8514008522033691,-20.316478729248047
-1.241087555885315,1.9739665985107422,0.20752717554569244,21.612321853637695,0.24105142056941986,949,-2.3025851249694824,-21.452157974243164,0.8625161647796631,1.9775251150131226,4,-2.3025851249694824,0.8488814830780029,-20.256759643554688
-1.1647802591323853,1.9209498167037964,0.21221399307250977,21.582605361938477,0.24869947135448456,999,-2.3025851249694824,-21.49179458618164,0.8650031089782715,1.918088436126709,4,-2.3025851249694824,0.8559717535972595,-20.1888370513916
-1.0973469018936157,1.8600887060165405,0.21606527268886566,21.571725845336914,0.2590184807777405,1049,-2.3025851249694824,-21.558420181274414,0.8672361969947815,1.8575189113616943,5,-2.3025851249694824,0.8624594807624817,-20.085615158081055
-1.0417613983154297,1.7938892841339111,0.22436651587486267,21.541900634765625,0.2669682204723358,1099,-2.3025851249694824,-21.62389373779297,0.868752658367157,1.7956383228302002,5,-2.3025851249694824,0.8568138480186462,-20.02450942993164
-0.9738994836807251,1.717922329902649,0.22490404546260834,21.52156639099121,0.27489885687828064,1149,-2.3025851249694824,-21.727067947387695,0.869173526763916,1.718238115310669,5,-2.3025851249694824,0.8635330200195312,-19.91834259033203
-0.9150437712669373,1.635092854499817,0.22944515943527222,21.492273330688477,0.2822202146053314,1199,-2.3025851249694824,-21.85003089904785,0.8707963824272156,1.6355756521224976,5,-2.3025851249694824,0.8649314641952515,-19.82533836364746
-0.8335114121437073,1.540488600730896,0.23990407586097717,21.462263107299805,0.2952282726764679,1249,-2.3025851249694824,-22.007177352905273,0.8709993958473206,1.536790370941162,6,-2.3025851249694824,0.872176468372345,-19.709800720214844
-0.7730913758277893,1.4419219493865967,0.24535205960273743,21.43790054321289,0.30979838967323303,1299,-2.3025851249694824,-22.208154678344727,0.8735491037368774,1.441876769065857,6,-2.3025851249694824,0.881470799446106,-19.537654876708984
-0.7322068810462952,1.336394190788269,0.2594578266143799,21.391294479370117,0.3291921615600586,1349,-2.3025851249694824,-22.412200927734375,0.8774963617324829,1.3447577953338623,6,-2.3025851249694824,0.8700245022773743,-19.46454429626465
-0.6853899955749512,1.2377851009368896,0.26941531896591187,21.349103927612305,0.3471696078777313,1399,-2.3025851249694824,-22.62643814086914,0.8766367435455322,1.2460328340530396,6,-2.3025851249694824,0.8679162859916687,-19.40631866455078
-0.6334844827651978,1.1458940505981445,0.2834014892578125,21.313648223876953,0.3690061569213867,1449,-2.3025851249694824,-22.856571197509766,0.8751071691513062,1.163232445716858,7,-2.3025851249694824,0.8680649399757385,-19.31515884399414
-0.5957732200622559,1.059942364692688,0.301034152507782,21.2889461517334,0.3925047218799591,1499,-2.3025851249694824,-23.090242385864258,0.8756409883499146,1.068997859954834,7,-2.3025851249694824,0.8628821969032288,-19.291580200195312
-0.5661833882331848,0.9841617941856384,0.3199756145477295,21.272241592407227,0.4175027906894684,1549,-2.3025851249694824,-23.319778442382812,0.8753962516784668,0.9934424161911011,7,-2.3025851249694824,0.8659420609474182,-19.22356414794922
-0.5447045564651489,0.9154317378997803,0.3326438069343567,21.26324462890625,0.44530096650123596,1599,-2.3025851249694824,-23.53971290588379,0.8759362697601318,0.9192268252372742,7,-2.3025851249694824,0.8636527061462402,-19.113712310791016
-0.5147219300270081,0.8583025336265564,0.3522310256958008,21.234539031982422,0.47257015109062195,1649,-2.3025851249694824,-23.688732147216797,0.8746441602706909,0.8600866198539734,8,-2.3025851249694824,0.8650801181793213,-19.095064163208008
-0.4990236163139343,0.8124438524246216,0.36822542548179626,21.226959228515625,0.496237576007843,1699,-2.3025851249694824,-23.84442710876465,0.8725588917732239,0.8131767511367798,8,-2.3025851249694824,0.868878185749054,-19.095853805541992
-0.48749232292175293,0.7691649794578552,0.37801307439804077,21.207897186279297,0.5154040455818176,1749,-2.3025851249694824,-24.00468635559082,0.871036171913147,0.7761795520782471,8,-2.3025851249694824,0.8682321310043335,-19.05461311340332
-0.49228498339653015,0.7312870025634766,0.3965457081794739,21.195749282836914,0.5379037261009216,1799,-2.3025851249694824,-24.10793113708496,0.8719714283943176,0.7485957741737366,8,-2.3025851249694824,0.8576222658157349,-19.00550651550293
-0.4934101998806,0.701907753944397,0.4165743887424469,21.18567657470703,0.5571191906929016,1849,-2.3025851249694824,-24.196407318115234,0.8733606934547424,0.7215953469276428,9,-2.3025851249694824,0.8560907244682312,-19.02676010131836
-0.4856840968132019,0.678396999835968,0.4239371716976166,21.205896377563477,0.5748677849769592,1899,-2.3025851249694824,-24.29583740234375,0.8725687265396118,0.6995935440063477,9,-2.3025851249694824,0.8549470901489258,-19.063100814819336
-0.45864614844322205,0.6573392748832703,0.4237758219242096,21.19683837890625,0.5910038352012634,1949,-2.3025851249694824,-24.387514114379883,0.8709661364555359,0.6707099676132202,9,-2.3025851249694824,0.8663702607154846,-18.89066505432129
-0.44651398062705994,0.639398455619812,0.43068817257881165,21.19120979309082,0.6060550212860107,1999,-2.3025851249694824,-24.44352149963379,0.8707471489906311,0.6510085463523865,9,-2.3025851249694824,0.8673333525657654,-18.935474395751953
-0.44426918029785156,0.6225593686103821,0.4457738995552063,21.213390350341797,0.6195056438446045,2049,-2.3025851249694824,-24.495361328125,0.869963526725769,0.637025773525238,10,-2.3025851249694824,0.8660979270935059,-18.96912956237793
-0.45965737104415894,0.6104221940040588,0.44549933075904846,21.18436050415039,0.6296977400779724,2099,-2.3025851249694824,-24.535362243652344,0.8690052628517151,0.6328224539756775,10,-2.3025851249694824,0.8651416897773743,-18.89590072631836
-0.4530956745147705,0.6014993190765381,0.45999568700790405,21.180124282836914,0.6353976130485535,2149,-2.3025851249694824,-24.56629753112793,0.8697595000267029,0.6211550235748291,10,-2.3025851249694824,0.8610106706619263,-18.958772659301758
-0.4298168420791626,0.5903235077857971,0.45993632078170776,21.167030334472656,0.645917534828186,2199,-2.3025851249694824,-24.590139389038086,0.8713402152061462,0.5991133451461792,10,-2.3025851249694824,0.8697808980941772,-18.83489990234375
-0.42090708017349243,0.5781509280204773,0.4688091576099396,21.175493240356445,0.6575363278388977,2249,-2.3025851249694824,-24.647388458251953,0.8711680769920349,0.5895757675170898,11,-2.3025851249694824,0.8696597218513489,-18.82766342163086
-0.42812424898147583,0.5673012137413025,0.47313034534454346,21.16526222229004,0.6686878800392151,2299,-2.3025851249694824,-24.684494018554688,0.8740740418434143,0.5899505615234375,11,-2.3025851249694824,0.8740169405937195,-18.837800979614258
