loss,elbo,kl,lqz,step,lpz,lpx,epoch
918.9151000976562,-918.9151000976562,2.708803653717041,-71.16302490234375,99,-73.87183380126953,-916.2062377929688,0
824.9716796875,-824.9716796875,7.208887577056885,-64.68925476074219,199,-71.89814758300781,-817.7627563476562,1
781.0460815429688,-781.0460815429688,9.821125030517578,-62.576908111572266,299,-72.39803314208984,-771.2249755859375,2
761.4075317382812,-761.4075317382812,10.112874984741211,-62.925636291503906,399,-73.03851318359375,-751.2946166992188,3
752.7955322265625,-752.7955322265625,9.427940368652344,-63.33723068237305,499,-72.76516723632812,-743.3675537109375,4
748.3606567382812,-748.3606567382812,8.544760704040527,-63.73725128173828,599,-72.28201293945312,-739.8158569335938,4
745.773681640625,-745.773681640625,7.887957572937012,-64.06212615966797,699,-71.95008087158203,-737.8857421875,5
744.4263305664062,-744.4263305664062,7.472652435302734,-64.30039978027344,799,-71.7730484008789,-736.9536743164062,6
742.9109497070312,-742.9109497070312,7.1506667137146,-64.4676284790039,899,-71.61829376220703,-735.7603149414062,7
742.2767944335938,-742.2767944335938,6.863253116607666,-64.55921173095703,999,-71.4224624633789,-735.4135131835938,8
741.688232421875,-741.688232421875,6.686354160308838,-64.61478424072266,1099,-71.30113983154297,-735.0018920898438,9
741.0159301757812,-741.0159301757812,6.610377788543701,-64.62744903564453,1199,-71.23782348632812,-734.405517578125,9
740.2684936523438,-740.2684936523438,6.563013553619385,-64.61382293701172,1299,-71.17683410644531,-733.7055053710938,10
739.9910278320312,-739.9910278320312,6.531214714050293,-64.62815856933594,1399,-71.15937805175781,-733.4598388671875,11
739.4096069335938,-739.4096069335938,6.439939498901367,-64.69115447998047,1499,-71.13109588623047,-732.9696655273438,12
738.8148193359375,-738.8148193359375,6.3163604736328125,-64.84254455566406,1599,-71.15890502929688,-732.4984130859375,13
738.4254150390625,-738.4254150390625,6.108040809631348,-65.0330581665039,1699,-71.14109802246094,-732.3173828125,14
737.7503051757812,-737.7503051757812,5.907616138458252,-65.2126693725586,1799,-71.12028503417969,-731.8427124023438,14
737.184814453125,-737.184814453125,5.768726348876953,-65.32364654541016,1899,-71.09237670898438,-731.4160766601562,15
737.2133178710938,-737.2133178710938,5.706052303314209,-65.37702941894531,1999,-71.08308410644531,-731.5072631835938,16
736.7150268554688,-736.7150268554688,5.6507248878479,-65.39639282226562,2099,-71.047119140625,-731.0643310546875,17
736.1646728515625,-736.1646728515625,5.6349196434021,-65.40550231933594,2199,-71.04042053222656,-730.52978515625,18
736.14990234375,-736.14990234375,5.6263813972473145,-65.40510559082031,2299,-71.03148651123047,-730.5235595703125,19
735.8119506835938,-735.8119506835938,5.597754001617432,-65.41410827636719,2399,-71.0118637084961,-730.2141723632812,19
735.3787841796875,-735.3787841796875,5.556052207946777,-65.48821258544922,2499,-71.04426574707031,-729.82275390625,20
734.8975830078125,-734.8975830078125,5.490499019622803,-65.52716827392578,2599,-71.01766967773438,-729.4071044921875,21
734.2713012695312,-734.2713012695312,5.460068702697754,-65.53003692626953,2699,-70.99010467529297,-728.8112182617188,22
733.8491821289062,-733.8491821289062,5.447309494018555,-65.52993774414062,2799,-70.97724914550781,-728.4019165039062,23
733.9713134765625,-733.9713134765625,5.415614128112793,-65.54306030273438,2899,-70.95867156982422,-728.5557250976562,24
733.4130249023438,-733.4130249023438,5.384958267211914,-65.57330322265625,2999,-70.95825958251953,-728.028076171875,24
732.9846801757812,-732.9846801757812,5.3500566482543945,-65.60626220703125,3099,-70.95631408691406,-727.6345825195312,25
732.794921875,-732.794921875,5.326171875,-65.62873077392578,3199,-70.95490264892578,-727.46875,26
732.598388671875,-732.598388671875,5.305547714233398,-65.65652465820312,3299,-70.96206665039062,-727.2928466796875,27
732.5469970703125,-732.5469970703125,5.293396472930908,-65.68336486816406,3399,-70.97676086425781,-727.2536010742188,28
732.3214721679688,-732.3214721679688,5.27852725982666,-65.69599151611328,3499,-70.97451782226562,-727.04296875,29
732.139404296875,-732.139404296875,5.275571823120117,-65.71731567382812,3599,-70.99288177490234,-726.8638305664062,29
731.7247924804688,-731.7247924804688,5.269595623016357,-65.72480773925781,3699,-70.99440002441406,-726.4552001953125,30
731.5284423828125,-731.5284423828125,5.269063472747803,-65.72444152832031,3799,-70.99349975585938,-726.2593383789062,31
731.691162109375,-731.691162109375,5.271023273468018,-65.73384857177734,3899,-71.00486755371094,-726.4201049804688,32
731.1200561523438,-731.1200561523438,5.275741100311279,-65.7347640991211,3999,-71.01050567626953,-725.8442993164062,33
731.5144653320312,-731.5144653320312,5.28093147277832,-65.74219512939453,4099,-71.02312469482422,-726.2335205078125,34
730.97265625,-730.97265625,5.28114128112793,-65.73601531982422,4199,-71.01715087890625,-725.6915283203125,34
730.9301147460938,-730.9301147460938,5.285882472991943,-65.72823333740234,4299,-71.01412200927734,-725.6442260742188,35
730.9686889648438,-730.9686889648438,5.2890729904174805,-65.7233657836914,4399,-71.01244354248047,-725.6796264648438,36
730.7368774414062,-730.7368774414062,5.292654037475586,-65.71340942382812,4499,-71.00606536865234,-725.4442138671875,37
730.47265625,-730.47265625,5.292832374572754,-65.7073745727539,4599,-71.00020599365234,-725.1798095703125,38
730.64013671875,-730.64013671875,5.297519683837891,-65.7044677734375,4699,-71.00199127197266,-725.3426513671875,39
730.5206298828125,-730.5206298828125,5.294811725616455,-65.70418548583984,4799,-70.99899291992188,-725.2257690429688,39
730.5279541015625,-730.5279541015625,5.301224708557129,-65.7110366821289,4899,-71.01226043701172,-725.2267456054688,40
