epoch:      1, it:      100, loss: 77.50, s_lpx: -71.47, u_lpx: -73.11, s_kl: 3.04, u_kl: 3.16, s_py: -2.30, u_py: -2.30, s_qy: -2.39, s_H: 2.27, u_H: 2.27, s_acc: 0.0644, u_acc: 0.1140
epoch:      1, it:      200, loss: 73.85, s_lpx: -70.89, u_lpx: -71.26, s_kl: 1.33, u_kl: 1.37, s_py: -2.30, u_py: -2.30, s_qy: -2.34, s_H: 2.28, u_H: 2.28, s_acc: 0.0988, u_acc: 0.1215
epoch:      2, it:      100, loss: 72.42, s_lpx: -70.29, u_lpx: -70.46, s_kl: 0.74, u_kl: 0.76, s_py: -2.30, u_py: -2.30, s_qy: -2.29, s_H: 2.28, u_H: 2.28, s_acc: 0.1480, u_acc: 0.1213
epoch:      2, it:      200, loss: 71.91, s_lpx: -70.26, u_lpx: -70.12, s_kl: 0.59, u_kl: 0.61, s_py: -2.30, u_py: -2.30, s_qy: -2.27, s_H: 2.28, u_H: 2.28, s_acc: 0.1503, u_acc: 0.1336
epoch:      3, it:      100, loss: 71.67, s_lpx: -70.16, u_lpx: -69.90, s_kl: 0.59, u_kl: 0.61, s_py: -2.30, u_py: -2.30, s_qy: -2.25, s_H: 2.28, u_H: 2.28, s_acc: 0.1748, u_acc: 0.1500
epoch:      3, it:      200, loss: 71.59, s_lpx: -69.71, u_lpx: -69.77, s_kl: 0.63, u_kl: 0.66, s_py: -2.30, u_py: -2.30, s_qy: -2.24, s_H: 2.27, u_H: 2.27, s_acc: 0.1567, u_acc: 0.1485
epoch:      4, it:      100, loss: 71.50, s_lpx: -69.72, u_lpx: -69.61, s_kl: 0.71, u_kl: 0.74, s_py: -2.30, u_py: -2.30, s_qy: -2.21, s_H: 2.27, u_H: 2.27, s_acc: 0.1921, u_acc: 0.1577
epoch:      4, it:      200, loss: 71.46, s_lpx: -69.53, u_lpx: -69.49, s_kl: 0.80, u_kl: 0.82, s_py: -2.30, u_py: -2.30, s_qy: -2.21, s_H: 2.26, u_H: 2.26, s_acc: 0.1989, u_acc: 0.1649
epoch:      5, it:      100, loss: 71.44, s_lpx: -69.53, u_lpx: -69.42, s_kl: 0.88, u_kl: 0.90, s_py: -2.30, u_py: -2.30, s_qy: -2.18, s_H: 2.26, u_H: 2.26, s_acc: 0.2335, u_acc: 0.1675
epoch:      5, it:      200, loss: 71.43, s_lpx: -69.19, u_lpx: -69.34, s_kl: 0.94, u_kl: 0.97, s_py: -2.30, u_py: -2.30, s_qy: -2.19, s_H: 2.25, u_H: 2.25, s_acc: 0.2039, u_acc: 0.1723
epoch:      6, it:      100, loss: 71.40, s_lpx: -69.25, u_lpx: -69.26, s_kl: 1.01, u_kl: 1.04, s_py: -2.30, u_py: -2.30, s_qy: -2.17, s_H: 2.25, u_H: 2.25, s_acc: 0.2336, u_acc: 0.1803
epoch:      6, it:      200, loss: 71.38, s_lpx: -69.26, u_lpx: -69.19, s_kl: 1.07, u_kl: 1.10, s_py: -2.30, u_py: -2.30, s_qy: -2.16, s_H: 2.24, u_H: 2.24, s_acc: 0.2370, u_acc: 0.1776
epoch:      7, it:      100, loss: 71.34, s_lpx: -68.99, u_lpx: -69.10, s_kl: 1.12, u_kl: 1.16, s_py: -2.30, u_py: -2.30, s_qy: -2.14, s_H: 2.23, u_H: 2.24, s_acc: 0.2440, u_acc: 0.1797
epoch:      7, it:      200, loss: 71.38, s_lpx: -68.73, u_lpx: -69.09, s_kl: 1.17, u_kl: 1.23, s_py: -2.30, u_py: -2.30, s_qy: -2.14, s_H: 2.23, u_H: 2.23, s_acc: 0.2454, u_acc: 0.1833
epoch:      8, it:      100, loss: 71.32, s_lpx: -68.84, u_lpx: -68.97, s_kl: 1.27, u_kl: 1.30, s_py: -2.30, u_py: -2.30, s_qy: -2.11, s_H: 2.22, u_H: 2.22, s_acc: 0.2588, u_acc: 0.1821
epoch:      8, it:      200, loss: 71.32, s_lpx: -68.87, u_lpx: -68.90, s_kl: 1.34, u_kl: 1.38, s_py: -2.30, u_py: -2.30, s_qy: -2.12, s_H: 2.21, u_H: 2.22, s_acc: 0.2513, u_acc: 0.1833
epoch:      9, it:      100, loss: 71.35, s_lpx: -68.65, u_lpx: -68.87, s_kl: 1.40, u_kl: 1.46, s_py: -2.30, u_py: -2.30, s_qy: -2.10, s_H: 2.21, u_H: 2.21, s_acc: 0.2692, u_acc: 0.1884
