s_lpx,u_kl,step,s_kl,u_lpx,s_acc,u_acc,loss,u_py,u_H,s_H,s_py,s_qy,epoch
-71.90377807617188,4.962640285491943,49,4.755205154418945,-74.90614318847656,0.047216132283210754,0.1226469874382019,81.10990905761719,-2.3025848865509033,2.26066255569458,2.2550666332244873,-2.3025853633880615,-2.4317092895507812,0
-71.467529296875,3.1589510440826416,99,3.0363857746124268,-73.11131286621094,0.06438436359167099,0.11401984840631485,77.50261688232422,-2.3025848865509033,2.2709505558013916,2.2674200534820557,-2.3025853633880615,-2.393176317214966,0
-70.93994903564453,2.0454494953155518,149,1.9734084606170654,-71.9869613647461,0.08808745443820953,0.11431572586297989,75.25052642822266,-2.3025848865509033,2.2747392654418945,2.273052215576172,-2.3025853633880615,-2.3565540313720703,0
-70.8875732421875,1.3732551336288452,199,1.329662799835205,-71.26014709472656,0.0988100990653038,0.12150584161281586,73.84957122802734,-2.3025848865509033,2.2786173820495605,2.277963876724243,-2.3025853633880615,-2.342637300491333,0
-70.2936019897461,0.9794703722000122,249,0.9458317160606384,-70.76825714111328,0.11090949177742004,0.1234077587723732,72.94670104980469,-2.3025848865509033,2.279465675354004,2.279400587081909,-2.3025853633880615,-2.315439224243164,1
-70.28771209716797,0.7633344531059265,299,0.7368407249450684,-70.46113586425781,0.14795950055122375,0.12130699306726456,72.41539764404297,-2.3025848865509033,2.278749942779541,2.278730630874634,-2.3025853633880615,-2.2933712005615234,1
-70.21465301513672,0.6553403735160828,349,0.6441544890403748,-70.26277160644531,0.15183183550834656,0.13055741786956787,72.10536193847656,-2.3025848865509033,2.278202772140503,2.2784156799316406,-2.3025853633880615,-2.283815622329712,1
-70.25704956054688,0.6084473133087158,399,0.5908084511756897,-70.11743927001953,0.15028737485408783,0.1335795521736145,71.91009521484375,-2.3025848865509033,2.277268171310425,2.2771170139312744,-2.3025853633880615,-2.273928165435791,1
-70.27810668945312,0.5955340266227722,449,0.5773348212242126,-70.01232147216797,0.1699906289577484,0.1419295221567154,71.78498077392578,-2.3025848865509033,2.278085708618164,2.2780230045318604,-2.3025853633880615,-2.2619471549987793,2
-70.156005859375,0.6054409742355347,499,0.5892350077629089,-69.89938354492188,0.1747729331254959,0.14995309710502625,71.67169189453125,-2.3025848865509033,2.2771432399749756,2.276707410812378,-2.3025853633880615,-2.245058536529541,2
