kl,epoch,elbo,step,lpz,lpx,loss,lqz
2.500328779220581,0,-917.7579956054688,99,-73.1924057006836,-915.2576904296875,917.7579956054688,-70.69207763671875
6.60891580581665,1,-825.4692993164062,199,-70.95692443847656,-818.8603515625,825.4692993164062,-64.34801483154297
9.473735809326172,2,-780.8260498046875,299,-70.75372314453125,-771.352294921875,780.8260498046875,-61.279991149902344
10.04773998260498,3,-761.6985473632812,399,-70.84521484375,-751.6508178710938,761.6985473632812,-60.79747772216797
9.729925155639648,4,-752.2665405273438,499,-70.87461853027344,-742.53662109375,752.2665405273438,-61.144691467285156
8.977656364440918,4,-747.5985107421875,599,-70.83209991455078,-738.6209106445312,747.5985107421875,-61.85444259643555
8.45195198059082,5,-744.6685180664062,699,-71.53730010986328,-736.216552734375,744.6685180664062,-63.08534622192383
7.7134013175964355,6,-742.5965576171875,799,-71.64054870605469,-734.8831787109375,742.5965576171875,-63.92715072631836
6.98651123046875,7,-741.0779418945312,899,-71.53390502929688,-734.0914306640625,741.0779418945312,-64.54739379882812
6.462489604949951,8,-739.9736328125,999,-71.43270874023438,-733.5111694335938,739.9736328125,-64.97022247314453
5.985445499420166,9,-739.1187744140625,1099,-71.35867309570312,-733.1333618164062,739.1187744140625,-65.37322998046875
5.596004962921143,9,-737.8501586914062,1199,-71.30435943603516,-732.254150390625,737.8501586914062,-65.70835876464844
5.399660587310791,10,-737.1566772460938,1299,-71.24254608154297,-731.7570190429688,737.1566772460938,-65.84288024902344
5.294022560119629,11,-736.7635498046875,1399,-71.12431335449219,-731.4695434570312,736.7635498046875,-65.83029174804688
5.2598066329956055,12,-736.3262939453125,1499,-71.06171417236328,-731.0664672851562,736.3262939453125,-65.8019027709961
5.281844139099121,13,-735.9525146484375,1599,-71.1035385131836,-730.670654296875,735.9525146484375,-65.82169342041016
5.262446403503418,14,-735.8095092773438,1699,-71.15431213378906,-730.5470581054688,735.8095092773438,-65.8918685913086
5.176161766052246,14,-735.2308349609375,1799,-71.16767120361328,-730.0546875,735.2308349609375,-65.99150848388672
5.068239212036133,15,-734.761474609375,1899,-71.2181625366211,-729.6931762695312,734.761474609375,-66.14991760253906
4.958646297454834,16,-734.3018188476562,1999,-71.24394226074219,-729.3431396484375,734.3018188476562,-66.28529357910156
4.829051494598389,17,-734.036376953125,2099,-71.20703887939453,-729.207275390625,734.036376953125,-66.37798309326172
4.694430828094482,18,-733.4277954101562,2199,-71.14154815673828,-728.7333984375,733.4277954101562,-66.4471206665039
4.598606586456299,19,-733.2651977539062,2299,-71.1188735961914,-728.6665649414062,733.2651977539062,-66.52027130126953
4.4993367195129395,19,-732.7637329101562,2399,-71.08164978027344,-728.264404296875,732.7637329101562,-66.58230590820312
4.430159568786621,20,-732.665283203125,2499,-71.05547332763672,-728.235107421875,732.665283203125,-66.62531280517578
4.375175952911377,21,-732.1807250976562,2599,-71.02883911132812,-727.8056030273438,732.1807250976562,-66.6536636352539
4.346435546875,22,-731.7728271484375,2699,-71.01777648925781,-727.4263916015625,731.7728271484375,-66.67134094238281
4.339361190795898,23,-731.8239135742188,2799,-71.02680969238281,-727.4845581054688,731.8239135742188,-66.68745422363281
4.325727939605713,24,-731.4603881835938,2899,-70.99982452392578,-727.1346435546875,731.4603881835938,-66.6740951538086
