epoch:      1, it:      100, loss: 357.46, s_lpx: -350.59, u_lpx: -352.49, s_kl: 4.73, u_kl: 4.71, s_py: -2.30, u_py: -2.30, s_qy: -2.20, s_H: 2.27, u_H: 2.27, s_acc: 0.2792, u_acc: 0.2687
epoch:      1, it:      200, loss: 254.47, s_lpx: -250.17, u_lpx: -248.38, s_kl: 5.56, u_kl: 5.65, s_py: -2.30, u_py: -2.30, s_qy: -2.03, s_H: 2.26, u_H: 2.26, s_acc: 0.4500, u_acc: 0.4458
epoch:      2, it:      100, loss: 203.94, s_lpx: -195.80, u_lpx: -193.45, s_kl: 9.92, u_kl: 10.03, s_py: -2.30, u_py: -2.30, s_qy: -1.92, s_H: 2.25, u_H: 2.25, s_acc: 0.5322, u_acc: 0.5245
epoch:      2, it:      200, loss: 178.33, s_lpx: -166.29, u_lpx: -164.72, s_kl: 12.97, u_kl: 13.21, s_py: -2.30, u_py: -2.30, s_qy: -1.87, s_H: 2.24, u_H: 2.24, s_acc: 0.5664, u_acc: 0.5737
epoch:      3, it:      100, loss: 163.75, s_lpx: -148.82, u_lpx: -147.59, s_kl: 15.53, u_kl: 15.78, s_py: -2.30, u_py: -2.30, s_qy: -1.82, s_H: 2.23, u_H: 2.23, s_acc: 0.6065, u_acc: 0.6064
epoch:      3, it:      200, loss: 154.87, s_lpx: -138.28, u_lpx: -136.68, s_kl: 17.54, u_kl: 17.81, s_py: -2.30, u_py: -2.30, s_qy: -1.76, s_H: 2.22, u_H: 2.22, s_acc: 0.6579, u_acc: 0.6569
epoch:      4, it:      100, loss: 148.73, s_lpx: -130.75, u_lpx: -128.93, s_kl: 19.08, u_kl: 19.42, s_py: -2.30, u_py: -2.30, s_qy: -1.71, s_H: 2.21, u_H: 2.21, s_acc: 0.6905, u_acc: 0.6917
epoch:      4, it:      200, loss: 143.86, s_lpx: -124.25, u_lpx: -122.74, s_kl: 20.42, u_kl: 20.77, s_py: -2.30, u_py: -2.30, s_qy: -1.68, s_H: 2.20, u_H: 2.19, s_acc: 0.6978, u_acc: 0.7070
epoch:      5, it:      100, loss: 140.05, s_lpx: -119.39, u_lpx: -117.82, s_kl: 21.48, u_kl: 21.89, s_py: -2.30, u_py: -2.30, s_qy: -1.65, s_H: 2.19, u_H: 2.19, s_acc: 0.7209, u_acc: 0.7244
epoch:      5, it:      200, loss: 136.95, s_lpx: -115.16, u_lpx: -113.86, s_kl: 22.33, u_kl: 22.79, s_py: -2.30, u_py: -2.30, s_qy: -1.61, s_H: 2.18, u_H: 2.18, s_acc: 0.7244, u_acc: 0.7289
epoch:      6, it:      100, loss: 134.08, s_lpx: -110.94, u_lpx: -110.35, s_kl: 22.99, u_kl: 23.48, s_py: -2.30, u_py: -2.30, s_qy: -1.58, s_H: 2.17, u_H: 2.17, s_acc: 0.7389, u_acc: 0.7428
epoch:      6, it:      200, loss: 131.84, s_lpx: -108.92, u_lpx: -107.48, s_kl: 23.64, u_kl: 24.07, s_py: -2.30, u_py: -2.30, s_qy: -1.55, s_H: 2.15, u_H: 2.16, s_acc: 0.7445, u_acc: 0.7447
epoch:      7, it:      100, loss: 129.72, s_lpx: -105.85, u_lpx: -104.91, s_kl: 24.09, u_kl: 24.56, s_py: -2.30, u_py: -2.30, s_qy: -1.53, s_H: 2.14, u_H: 2.15, s_acc: 0.7584, u_acc: 0.7556
epoch:      7, it:      200, loss: 127.91, s_lpx: -103.97, u_lpx: -102.67, s_kl: 24.55, u_kl: 24.97, s_py: -2.30, u_py: -2.30, s_qy: -1.51, s_H: 2.14, u_H: 2.14, s_acc: 0.7672, u_acc: 0.7667
epoch:      8, it:      100, loss: 126.22, s_lpx: -101.95, u_lpx: -100.60, s_kl: 24.93, u_kl: 25.35, s_py: -2.30, u_py: -2.30, s_qy: -1.50, s_H: 2.14, u_H: 2.14, s_acc: 0.7872, u_acc: 0.7756
