u_H,loss,s_qy,u_kl,s_kl,u_lpx,u_py,s_acc,u_acc,step,epoch,s_lpx,s_H,s_py
2.267089366912842,454.8815612792969,-2.265298366546631,5.790285110473633,5.818843841552734,-448.832763671875,-2.3025851249694824,0.1716303676366806,0.13724491000175476,49,0,-446.9652404785156,2.267620086669922,-2.3025851249694824
2.2735402584075928,357.45513916015625,-2.199382781982422,4.713258266448975,4.731332778930664,-352.493408203125,-2.3025851249694824,0.2791514992713928,0.2687476575374603,99,0,-350.5906677246094,2.274045944213867,-2.3025851249694824
2.2722902297973633,295.4974365234375,-2.1116340160369873,4.563338756561279,4.532094478607178,-290.55816650390625,-2.3025851249694824,0.39412787556648254,0.3874058425426483,149,0,-291.0097961425781,2.2721104621887207,-2.3025851249694824
2.2621171474456787,254.47169494628906,-2.0311546325683594,5.647763729095459,5.556591987609863,-248.3785858154297,-2.3025851249694824,0.44999411702156067,0.4457553029060364,199,0,-250.17108154296875,2.261122703552246,-2.3025851249694824
2.253286361694336,225.14776611328125,-1.9754900932312012,7.834057331085205,7.723360061645508,-216.9169158935547,-2.3025851249694824,0.4866543412208557,0.4861290454864502,249,1,-217.99557495117188,2.2521865367889404,-2.3025851249694824
2.2470364570617676,203.94308471679688,-1.9233497381210327,10.030516624450684,9.924678802490234,-193.4485626220703,-2.3025851249694824,0.5321680307388306,0.5245378017425537,299,1,-195.80380249023438,2.2451024055480957,-2.3025851249694824
2.241708517074585,189.11370849609375,-1.8902140855789185,11.725850105285645,11.624059677124023,-177.0209197998047,-2.3025851249694824,0.5529956817626953,0.5434854030609131,349,1,-177.8070831298828,2.2396085262298584,-2.3025851249694824
2.2369842529296875,178.33016967773438,-1.8734943866729736,13.206727981567383,12.971997261047363,-164.7201690673828,-2.3025851249694824,0.5664228200912476,0.5737403631210327,399,1,-166.28697204589844,2.2369136810302734,-2.3025851249694824
2.23225998878479,170.09750366210938,-1.8382019996643066,14.636362075805664,14.331587791442871,-155.11370849609375,-2.3025851249694824,0.6051650047302246,0.6029854416847229,449,2,-155.89749145507812,2.232924222946167,-2.3025851249694824
2.2278318405151367,163.7461395263672,-1.8214726448059082,15.782318115234375,15.530007362365723,-147.5933837890625,-2.3025851249694824,0.6064764261245728,0.606390118598938,499,2,-148.81582641601562,2.2271323204040527,-2.3025851249694824
2.2222721576690674,158.91943359375,-1.788703203201294,16.881654739379883,16.62369728088379,-141.63397216796875,-2.3025851249694824,0.6251443028450012,0.6235295534133911,549,2,-143.58216857910156,2.2204582691192627,-2.3025851249694824
2.2192790508270264,154.8670654296875,-1.7636820077896118,17.80965232849121,17.54115867614746,-136.6835174560547,-2.3025851249694824,0.6579103469848633,0.6568843722343445,599,2,-138.27883911132812,2.2186496257781982,-2.3025851249694824
2.212024211883545,151.71389770507812,-1.7293198108673096,18.67230224609375,18.380775451660156,-132.72305297851562,-2.3025851249694824,0.6779362559318542,0.683850884437561,649,3,-133.5308380126953,2.2115097045898438,-2.3025851249694824
2.2059836387634277,148.72506713867188,-1.7082959413528442,19.423595428466797,19.080547332763672,-128.93362426757812,-2.3025851249694824,0.6905288100242615,0.6917440295219421,699,3,-130.75344848632812,2.2056455612182617,-2.3025851249694824
2.198009967803955,146.08392333984375,-1.6904127597808838,20.141029357910156,19.86795425415039,-125.55970764160156,-2.3025851249694824,0.6848059892654419,0.6971593499183655,749,3,-127.63026428222656,2.198364734649658,-2.3025851249694824
2.19478178024292,143.85877990722656,-1.6754337549209595,20.774097442626953,20.42252540588379,-122.74246215820312,-2.3025851249694824,0.6977527737617493,0.7069817185401917,799,3,-124.24601745605469,2.1950113773345947,-2.3025851249694824
2.1921353340148926,141.76829528808594,-1.6552841663360596,21.380329132080078,21.004281997680664,-120.05010223388672,-2.3025851249694824,0.7144193649291992,0.7172134518623352,849,4,-121.55970764160156,2.191206216812134,-2.3025851249694824
2.1915595531463623,140.04855346679688,-1.649235486984253,21.889814376831055,21.476871490478516,-117.82035064697266,-2.3025851249694824,0.7208800911903381,0.7244102358818054,899,4,-119.38829803466797,2.1911823749542236,-2.3025851249694824
2.1889536380767822,138.5665740966797,-1.6404056549072266,22.354778289794922,22.019678115844727,-115.86135864257812,-2.3025851249694824,0.7235955595970154,0.7239919900894165,949,4,-117.7963638305664,2.1876156330108643,-2.3025851249694824
2.179462194442749,136.94627380371094,-1.6118841171264648,22.787044525146484,22.332977294921875,-113.86190032958984,-2.3025851249694824,0.7243508696556091,0.7289202213287354,999,4,-115.15848541259766,2.176410436630249,-2.3025851249694824
2.175302267074585,135.56808471679688,-1.5948327779769897,23.156599044799805,22.643037796020508,-112.13728332519531,-2.3025851249694824,0.7320389747619629,0.7401513457298279,1049,5,-113.13237762451172,2.1721842288970947,-2.3025851249694824
