lpx,step,elbo,lqz,loss,lpz,epoch,kl
-725.7630615234375,4599,-730.607421875,-66.12303161621094,730.607421875,-70.9674301147461,38,4.844400882720947
-725.8798217773438,4699,-730.73095703125,-66.11080169677734,730.73095703125,-70.96188354492188,39,4.851082801818848
-725.779296875,4799,-730.6394653320312,-66.10490417480469,730.6394653320312,-70.96504211425781,39,4.860138893127441
-725.5770263671875,4899,-730.43896484375,-66.10040283203125,730.43896484375,-70.96235656738281,40,4.861954689025879
-725.652099609375,4999,-730.5193481445312,-66.09342956542969,730.5193481445312,-70.9606704711914,41,4.867238521575928
-725.8723754882812,5099,-730.7454223632812,-66.08914184570312,730.7454223632812,-70.96224975585938,42,4.873106002807617
-725.3630981445312,5199,-730.2399291992188,-66.08578491210938,730.2399291992188,-70.9626235961914,43,4.87684440612793
-725.6519165039062,5299,-730.5302734375,-66.08283996582031,730.5302734375,-70.96116638183594,44,4.878327369689941
-725.4369506835938,5399,-730.3115234375,-66.0793228149414,730.3115234375,-70.95391845703125,44,4.874590873718262
-725.4387817382812,5499,-730.3170776367188,-66.07660675048828,730.3170776367188,-70.95484924316406,45,4.878236770629883
-725.15478515625,5599,-730.030517578125,-66.07711029052734,730.030517578125,-70.952880859375,46,4.875768184661865
-725.3818359375,5699,-730.2606201171875,-66.08134460449219,730.2606201171875,-70.96017456054688,47,4.87882661819458
-724.9623413085938,5799,-729.83544921875,-66.078857421875,729.83544921875,-70.95191955566406,48,4.873064994812012
-725.4414672851562,5899,-730.3170166015625,-66.0765380859375,730.3170166015625,-70.95210266113281,49,4.875569820404053
-725.2142944335938,5999,-730.0968017578125,-66.09300994873047,730.0968017578125,-70.97555541992188,49,4.882544994354248
-724.9666748046875,6099,-729.8469848632812,-66.09477996826172,729.8469848632812,-70.97513580322266,50,4.880350112915039
-725.1285400390625,6199,-730.0081787109375,-66.08529663085938,730.0081787109375,-70.9649887084961,51,4.87969446182251
-724.8526611328125,6299,-729.7262573242188,-66.07780456542969,729.7262573242188,-70.95140838623047,52,4.873608589172363
-725.1900634765625,6399,-730.0643310546875,-66.07935333251953,730.0643310546875,-70.95356750488281,53,4.874213695526123
-724.62548828125,6499,-729.5020751953125,-66.08621978759766,729.5020751953125,-70.96280670166016,54,4.876586437225342
-725.0195922851562,6599,-729.89404296875,-66.07904052734375,729.89404296875,-70.95349884033203,54,4.874454975128174
-724.8577880859375,6699,-729.7353515625,-66.07384490966797,729.7353515625,-70.95140838623047,55,4.877561092376709
-724.7769775390625,6799,-729.6607666015625,-66.06510162353516,729.6607666015625,-70.94886779785156,56,4.883766174316406
-724.7938232421875,6899,-729.6913452148438,-66.06160736083984,729.6913452148438,-70.95911407470703,57,4.89750862121582
-724.5872192382812,6999,-729.499267578125,-66.04291534423828,729.499267578125,-70.9549560546875,58,4.912046432495117
-724.7562866210938,7099,-729.7030029296875,-66.00375366210938,729.7030029296875,-70.95046997070312,59,4.946715354919434
-724.5346069335938,7199,-729.541748046875,-65.94722747802734,729.541748046875,-70.95433044433594,59,5.007099151611328
-724.3888549804688,7299,-729.4546508789062,-65.892822265625,729.4546508789062,-70.9586410522461,60,5.065822124481201
-724.1838989257812,7399,-729.3024291992188,-65.84622955322266,729.3024291992188,-70.96473693847656,61,5.1185102462768555
-723.9348754882812,7499,-729.108642578125,-65.79588317871094,729.108642578125,-70.96966552734375,62,5.17378568649292
-724.466064453125,7599,-729.6942749023438,-65.73567962646484,729.6942749023438,-70.96391296386719,63,5.228236675262451
-723.8372192382812,7699,-729.1187744140625,-65.69247436523438,729.1187744140625,-70.97402954101562,64,5.281557083129883
-723.5853881835938,7799,-728.9030151367188,-65.64981079101562,728.9030151367188,-70.96741485595703,64,5.317607879638672
-723.4620361328125,7899,-728.8141479492188,-65.62812805175781,728.8141479492188,-70.9802474975586,65,5.3521246910095215
-723.3515014648438,7999,-728.7265014648438,-65.61106872558594,728.7265014648438,-70.98602294921875,66,5.374950885772705
