kl,lpx,step,lqz,elbo,lpz,epoch,loss
2.683837413787842,-345.5076599121094,99,-70.14317321777344,-348.1914978027344,-72.82701110839844,0,348.1914978027344
2.731703519821167,-249.59042358398438,199,-69.357666015625,-252.32212829589844,-72.08937072753906,1,252.32212829589844
3.1509299278259277,-211.740234375,299,-68.56816864013672,-214.8911590576172,-71.71910095214844,2,214.8911590576172
5.383570194244385,-189.22669982910156,399,-66.68806457519531,-194.61026000976562,-72.0716323852539,3,194.61026000976562
9.09371566772461,-168.07577514648438,499,-63.348751068115234,-177.1694793701172,-72.44246673583984,4,177.1694793701172
11.877165794372559,-152.9825439453125,599,-60.64193344116211,-164.85971069335938,-72.51909637451172,5,164.85971069335938
13.432758331298828,-143.740234375,699,-59.1962776184082,-157.17298889160156,-72.62903594970703,6,157.17298889160156
14.414045333862305,-137.1203155517578,799,-58.27518844604492,-151.53436279296875,-72.6892318725586,7,151.53436279296875
15.206513404846191,-131.40794372558594,899,-57.51047897338867,-146.6144561767578,-72.71699523925781,8,146.6144561767578
15.868300437927246,-126.49223327636719,999,-56.82554244995117,-142.36053466796875,-72.69384765625,9,142.36053466796875
16.43637466430664,-122.32748413085938,1099,-56.22257614135742,-138.76385498046875,-72.65895080566406,10,138.76385498046875
16.769210815429688,-118.8886489868164,1199,-55.867889404296875,-135.65785217285156,-72.63710021972656,11,135.65785217285156
16.985164642333984,-115.89996337890625,1299,-55.6451416015625,-132.8851318359375,-72.63030242919922,12,132.8851318359375
17.20054817199707,-113.289794921875,1399,-55.41404342651367,-130.49034118652344,-72.61459350585938,13,130.49034118652344
17.38023567199707,-110.82099914550781,1499,-55.223777770996094,-128.20123291015625,-72.60401153564453,14,128.20123291015625
17.490583419799805,-108.68716430664062,1599,-55.08771896362305,-126.17774963378906,-72.57830047607422,15,126.17774963378906
17.57004737854004,-106.66461944580078,1699,-54.96541213989258,-124.23466491699219,-72.53546142578125,16,124.23466491699219
17.669586181640625,-104.8826675415039,1799,-54.803932189941406,-122.55225372314453,-72.47351837158203,17,122.55225372314453
17.781347274780273,-103.25591278076172,1899,-54.613037109375,-121.0372543334961,-72.3943862915039,18,121.0372543334961
17.876253128051758,-101.85906982421875,1999,-54.447139739990234,-119.7353286743164,-72.32339477539062,19,119.7353286743164
17.944475173950195,-100.63546752929688,2099,-54.30964279174805,-118.57994079589844,-72.25411987304688,20,118.57994079589844
18.00570297241211,-99.41336822509766,2199,-54.21239471435547,-117.4190673828125,-72.21810150146484,21,117.4190673828125
18.09723472595215,-98.21308898925781,2299,-54.082435607910156,-116.31031799316406,-72.17967224121094,22,116.31031799316406
18.2171688079834,-97.09038543701172,2399,-53.92445373535156,-115.30755615234375,-72.14161682128906,23,115.30755615234375
18.31508445739746,-96.06057739257812,2499,-53.779136657714844,-114.37566375732422,-72.09422302246094,24,114.37566375732422
18.424457550048828,-95.15708923339844,2599,-53.61307907104492,-113.58155059814453,-72.03753662109375,25,113.58155059814453
18.525959014892578,-94.40708923339844,2699,-53.44320297241211,-112.93304443359375,-71.96916198730469,26,112.93304443359375
18.610401153564453,-93.72736358642578,2799,-53.309268951416016,-112.33776092529297,-71.91967010498047,27,112.33776092529297
18.704118728637695,-93.15245056152344,2899,-53.16805648803711,-111.8565673828125,-71.87217712402344,28,111.8565673828125
18.783403396606445,-92.53072357177734,2999,-53.0568962097168,-111.31413269042969,-71.84030151367188,29,111.31413269042969
18.865476608276367,-91.99064636230469,3099,-52.93449783325195,-110.85612487792969,-71.79997253417969,30,110.85612487792969
18.980812072753906,-91.43737030029297,3199,-52.7904167175293,-110.41818237304688,-71.77122497558594,31,110.41818237304688
19.061229705810547,-90.9967041015625,3299,-52.6703987121582,-110.05793762207031,-71.73162841796875,32,110.05793762207031
19.135944366455078,-90.5859603881836,3399,-52.56385040283203,-109.72190856933594,-71.69979858398438,33,109.72190856933594
19.22939682006836,-90.14659881591797,3499,-52.4564208984375,-109.3759994506836,-71.6858139038086,34,109.3759994506836
19.29779052734375,-89.74067687988281,3599,-52.35977554321289,-109.03846740722656,-71.6575698852539,35,109.03846740722656
19.390823364257812,-89.35868835449219,3699,-52.246185302734375,-108.74951171875,-71.63700866699219,36,108.74951171875
19.45686912536621,-88.97877502441406,3799,-52.16936492919922,-108.43563842773438,-71.62623596191406,37,108.43563842773438
19.517990112304688,-88.6035385131836,3899,-52.091529846191406,-108.12152862548828,-71.6095199584961,38,108.12152862548828
19.58909034729004,-88.31880187988281,3999,-51.9987907409668,-107.90789031982422,-71.58788299560547,39,107.90789031982422
19.637451171875,-87.96990203857422,4099,-51.93647384643555,-107.60735321044922,-71.57392120361328,40,107.60735321044922
