loss,u_H,u_acc,s_lpx,step,u_lpx,u_kl,s_py,u_py,s_qy,s_H,epoch,s_acc,s_kl
453.9892578125,2.266106605529785,0.14941725134849548,-449.9752197265625,49,-447.8587341308594,5.811763286590576,-2.3025851249694824,-2.3025853633880615,-2.3580963611602783,2.2647953033447266,0,0.08468400686979294,5.733829021453857
357.15179443359375,2.272444725036621,0.25180673599243164,-357.3370056152344,99,-352.1231994628906,4.694716453552246,-2.3025851249694824,-2.3025853633880615,-2.247525215148926,2.2710416316986084,0,0.24172790348529816,4.4736104011535645
295.3875427246094,2.2738988399505615,0.35739144682884216,-292.2868957519531,149,-290.5632019042969,4.547399044036865,-2.3025851249694824,-2.3025853633880615,-2.178868532180786,2.273925542831421,0,0.33560219407081604,4.374122142791748
254.3668670654297,2.2694644927978516,0.4032461941242218,-246.63540649414062,199,-248.50233459472656,5.642099857330322,-2.3025851249694824,-2.3025853633880615,-2.1133477687835693,2.2695884704589844,0,0.38450855016708374,5.477663993835449
225.281005859375,2.26365065574646,0.4465480148792267,-215.53565979003906,249,-217.2216339111328,7.847131252288818,-2.3025851249694824,-2.3025853633880615,-2.0368688106536865,2.2637062072753906,1,0.46738865971565247,7.568624496459961
203.89495849609375,2.2548375129699707,0.48315322399139404,-191.84161376953125,299,-193.6326904296875,10.05533504486084,-2.3025851249694824,-2.3025853633880615,-1.9808090925216675,2.254776954650879,1,0.5153234004974365,9.723694801330566
188.83152770996094,2.2508225440979004,0.4858190417289734,-177.57327270507812,349,-176.8577423095703,11.742372512817383,-2.3025851249694824,-2.3025853633880615,-1.9588541984558105,2.249293088912964,1,0.4943649172782898,11.41914176940918
178.06097412109375,2.2475552558898926,0.5083593130111694,-164.9011993408203,399,-164.63333129882812,13.203022003173828,-2.3025851249694824,-2.3025853633880615,-1.91867196559906,2.243290424346924,1,0.5288631916046143,13.178783416748047
169.89549255371094,2.2429258823394775,0.5349699258804321,-154.76759338378906,449,-155.0588836669922,14.623885154724121,-2.3025851249694824,-2.3025853633880615,-1.8810431957244873,2.237773895263672,2,0.554914653301239,14.564842224121094
163.5513153076172,2.241175889968872,0.5510820746421814,-148.16827392578125,499,-147.4688262939453,15.864493370056152,-2.3025851249694824,-2.3025853633880615,-1.8703569173812866,2.2377688884735107,2,0.5824245810508728,15.672951698303223
158.61204528808594,2.2389678955078125,0.5559608936309814,-142.33255004882812,549,-141.46885681152344,16.928733825683594,-2.3025851249694824,-2.3025853633880615,-1.8390334844589233,2.2324235439300537,2,0.5991322994232178,16.580638885498047
154.55624389648438,2.23404860496521,0.5598198771476746,-137.73989868164062,599,-136.46995544433594,17.872392654418945,-2.3025851249694824,-2.3025853633880615,-1.8302112817764282,2.228052854537964,2,0.589076817035675,17.52834129333496
151.1231231689453,2.2314929962158203,0.5831707119941711,-132.69000244140625,649,-132.1824951171875,18.740917205810547,-2.3025851249694824,-2.3025853633880615,-1.794507622718811,2.2254443168640137,3,0.6447723507881165,18.48059844970703
148.15773010253906,2.2276723384857178,0.5899996161460876,-129.62948608398438,699,-128.4694366455078,19.481956481933594,-2.3025851249694824,-2.3025853633880615,-1.7866142988204956,2.221405029296875,3,0.6443442106246948,19.319461822509766
