s_qy,u_py,step,loss,s_py,s_H,s_kl,u_acc,epoch,u_H,u_lpx,s_lpx,u_kl,s_acc
-2.6225156784057617,-2.3025853633880615,49,26.996482849121094,-2.3025851249694824,2.2071359157562256,3.7990293502807617,0.11061152070760727,0,2.1889524459838867,-22.964691162109375,-23.453031539916992,3.625842332839966,0.05326953902840614
-2.4558002948760986,-2.3025853633880615,99,24.93638038635254,-2.3025851249694824,2.2408511638641357,2.376124143600464,0.2077716886997223,0,2.229431629180908,-22.319198608398438,-22.574594497680664,2.2722132205963135,0.15723934769630432
-2.3129770755767822,-2.3025853633880615,149,23.655977249145508,-2.3025851249694824,2.2595102787017822,1.5036054849624634,0.3154584467411041,0,2.252732753753662,-21.91254425048828,-22.17082405090332,1.4374102354049683,0.3090725243091583
-2.2214272022247314,-2.3025853633880615,199,22.88144302368164,-2.3025851249694824,2.2691822052001953,0.9710015058517456,0.40944531559944153,0,2.265085220336914,-21.671573638916016,-21.931175231933594,0.9281395673751831,0.38996636867523193
-2.1456987857818604,-2.3025853633880615,249,22.416812896728516,-2.3025851249694824,2.2734029293060303,0.6488101482391357,0.4929256737232208,1,2.2707152366638184,-21.533260345458984,-21.743824005126953,0.6193983554840088,0.47977909445762634
-2.0702438354492188,-2.3025853633880615,299,22.118633270263672,-2.3025851249694824,2.2741928100585938,0.45009440183639526,0.5686314105987549,1,2.272927761077881,-21.438018798828125,-21.525074005126953,0.4328499436378479,0.5874810218811035
-2.010587215423584,-2.3025853633880615,349,21.943416595458984,-2.3025851249694824,2.2714850902557373,0.32898300886154175,0.6178587675094604,1,2.271371603012085,-21.386245727539062,-21.38326644897461,0.32155928015708923,0.6359570026397705
-1.9632080793380737,-2.3025853633880615,399,21.818742752075195,-2.3025851249694824,2.268099784851074,0.25958573818206787,0.6620038151741028,1,2.2683420181274414,-21.33683204650879,-21.29224967956543,0.2563104033470154,0.6714231371879578
-1.910475730895996,-2.3025853633880615,449,21.75064468383789,-2.3025851249694824,2.2633612155914307,0.21524211764335632,0.6975799798965454,2,2.26385235786438,-21.319229125976562,-21.025493621826172,0.21939903497695923,0.7356360554695129
-1.8686238527297974,-2.3025853633880615,499,21.692644119262695,-2.3025851249694824,2.256822347640991,0.19933634996414185,0.7236360907554626,2,2.25787091255188,-21.286331176757812,-21.28825569152832,0.19981132447719574,0.7738558650016785
-1.8379539251327515,-2.3025853633880615,549,21.66727638244629,-2.3025851249694824,2.2498068809509277,0.18663319945335388,0.7474423050880432,2,2.250541925430298,-21.279577255249023,-21.174625396728516,0.19116191565990448,0.7618580460548401
-1.7940583229064941,-2.3025853633880615,599,21.652278900146484,-2.3025851249694824,2.2406857013702393,0.18626263737678528,0.7672170400619507,2,2.242702007293701,-21.277597427368164,-21.07733726501465,0.19046607613563538,0.7754735350608826
-1.7484716176986694,-2.3025853633880615,649,21.633258819580078,-2.3025851249694824,2.231290102005005,0.18664304912090302,0.7764434218406677,3,2.2336180210113525,-21.26726722717285,-21.13936996459961,0.19276759028434753,0.8053930997848511
-1.7068827152252197,-2.3025853633880615,699,21.652238845825195,-2.3025851249694824,2.220231294631958,0.18693426251411438,0.7870897054672241,3,2.2240827083587646,-21.29669761657715,-20.976377487182617,0.19739574193954468,0.8297855257987976
-1.6796952486038208,-2.3025853633880615,749,21.637889862060547,-2.3025851249694824,2.208561658859253,0.1967848539352417,0.7956005930900574,3,2.2127816677093506,-21.288244247436523,-20.988197326660156,0.20278288424015045,0.8028396368026733
-1.6433870792388916,-2.3025853633880615,799,21.61481475830078,-2.3025851249694824,2.197709321975708,0.19377239048480988,0.8039838671684265,3,2.20064640045166,-21.27402114868164,-20.82961082458496,0.20935891568660736,0.815083384513855
-1.6111394166946411,-2.3025853633880615,849,21.60829734802246,-2.3025851249694824,2.1883633136749268,0.2029995322227478,0.8099620938301086,4,2.188143253326416,-21.27530288696289,-20.751863479614258,0.21746964752674103,0.8217002153396606
-1.5611320734024048,-2.3025853633880615,899,21.60376739501953,-2.3025851249694824,2.1709299087524414,0.20882168412208557,0.8121921420097351,4,2.1738975048065186,-21.282594680786133,-20.74411964416504,0.22435912489891052,0.8395432829856873
-1.5182057619094849,-2.3025853633880615,949,21.588396072387695,-2.3025851249694824,2.150059938430786,0.20930911600589752,0.8195487260818481,4,2.158074140548706,-21.28097152709961,-20.688753128051758,0.23092877864837646,0.842405378818512
-1.4852311611175537,-2.3025853633880615,999,21.590049743652344,-2.3025851249694824,2.1336936950683594,0.20881132781505585,0.8271575570106506,4,2.140181303024292,-21.297426223754883,-20.634096145629883,0.23758020997047424,0.852337121963501
-1.444278359413147,-2.3025853633880615,1049,21.570833206176758,-2.3025851249694824,2.1159205436706543,0.2074863463640213,0.8311074376106262,5,2.1216657161712646,-21.298418045043945,-20.42784881591797,0.2433953732252121,0.8619225025177002
-1.4138610363006592,-2.3025853633880615,1099,21.56926155090332,-2.3025851249694824,2.0945186614990234,0.2134116142988205,0.8336165547370911,5,2.1004157066345215,-21.3182315826416,-20.4230899810791,0.24856078624725342,0.8474224209785461
-1.3611118793487549,-2.3025853633880615,1149,21.562332153320312,-2.3025851249694824,2.067030191421509,0.21888382732868195,0.8375952243804932,5,2.077788829803467,-21.333553314208984,-20.492416381835938,0.2539527714252472,0.8484064340591431
-1.3110365867614746,-2.3025853633880615,1199,21.560649871826172,-2.3025851249694824,2.0400760173797607,0.22104227542877197,0.837846040725708,5,2.0521113872528076,-21.362321853637695,-20.376567840576172,0.25755566358566284,0.8448538780212402
-1.2724864482879639,-2.3025853633880615,1249,21.53797149658203,-2.3025851249694824,2.013373374938965,0.2186952531337738,0.8431735038757324,6,2.0234322547912598,-21.374313354492188,-20.328840255737305,0.2603788375854492,0.8545926213264465
-1.21943199634552,-2.3025853633880615,1299,21.534875869750977,-2.3025851249694824,1.9728502035140991,0.22116367518901825,0.8423514366149902,6,1.9907399415969849,-21.410398483276367,-20.21179962158203,0.26435038447380066,0.858354926109314
-1.185610055923462,-2.3025853633880615,1349,21.52910804748535,-2.3025851249694824,1.935625672340393,0.22164715826511383,0.8436248898506165,6,1.9551924467086792,-21.447219848632812,-20.30304718017578,0.2668466567993164,0.8639580607414246
-1.145746111869812,-2.3025853633880615,1399,21.525962829589844,-2.3025851249694824,1.9079862833023071,0.22315464913845062,0.8441948890686035,6,1.9153450727462769,-21.495807647705078,-20.19821548461914,0.27203285694122314,0.8719367980957031
-1.0854614973068237,-2.3025853633880615,1449,21.509328842163086,-2.3025851249694824,1.8452831506729126,0.2283480167388916,0.8487997055053711,7,1.872880458831787,-21.541912078857422,-20.102420806884766,0.27834561467170715,0.8708769083023071
-1.042391300201416,-2.3025853633880615,1499,21.488096237182617,-2.3025851249694824,1.8040598630905151,0.2340574562549591,0.8534592986106873,7,1.8230642080307007,-21.590097427368164,-20.000240325927734,0.28602778911590576,0.8781068921089172
-0.9861899614334106,-2.3025853633880615,1549,21.48255157470703,-2.3025851249694824,1.744470238685608,0.23612035810947418,0.8543694019317627,7,1.7705703973770142,-21.665725708007812,-19.986724853515625,0.29524344205856323,0.8868207931518555
-0.9481289386749268,-2.3025853633880615,1599,21.462831497192383,-2.3025851249694824,1.699334979057312,0.24412542581558228,0.8562320470809937,7,1.7109899520874023,-21.743757247924805,-19.828357696533203,0.3036971688270569,0.8811231255531311
-0.8774265050888062,-2.3025853633880615,1649,21.45573616027832,-2.3025851249694824,1.6166532039642334,0.24985192716121674,0.8565208315849304,8,1.6462628841400146,-21.84354019165039,-19.7367000579834,0.31290867924690247,0.874019205570221
-0.8000950813293457,-2.3025853633880615,1699,21.417131423950195,-2.3025851249694824,1.5331840515136719,0.24602074921131134,0.8601260781288147,8,1.5717511177062988,-21.951082229614258,-19.537242889404297,0.32165735960006714,0.8866506218910217
-0.7941231727600098,-2.3025853633880615,1749,21.404794692993164,-2.3025851249694824,1.4763233661651611,0.2605375349521637,0.8598371148109436,8,1.4999337196350098,-22.087839126586914,-19.619287490844727,0.33203044533729553,0.8689389824867249
-0.752959132194519,-2.3025853633880615,1799,21.368379592895508,-2.3025851249694824,1.4088430404663086,0.2639675438404083,0.8609169125556946,8,1.425618052482605,-22.22382926940918,-19.52715301513672,0.34127160906791687,0.8832067847251892
-0.6926870942115784,-2.3025853633880615,1849,21.34563446044922,-2.3025851249694824,1.313269019126892,0.27917397022247314,0.8625692129135132,9,1.3502296209335327,-22.385622024536133,-19.582765579223633,0.3513515293598175,0.884551465511322
-0.6585381627082825,-2.3025853633880615,1899,21.3309326171875,-2.3025851249694824,1.2569382190704346,0.27403903007507324,0.8649106621742249,9,1.2687578201293945,-22.574235916137695,-19.405887603759766,0.36437684297561646,0.8778842687606812
-0.635742723941803,-2.3025853633880615,1949,21.305522918701172,-2.3025851249694824,1.1864358186721802,0.28334224224090576,0.8663268089294434,9,1.193103313446045,-22.769546508789062,-19.341997146606445,0.3781636655330658,0.8750230669975281
