epoch:      1, it:      100, loss: 357.14, s_lpx: -351.21, u_lpx: -352.15, s_kl: 4.69, u_kl: 4.74, s_py: -2.30, u_py: -2.30, s_qy: -2.40, s_H: 2.27, u_H: 2.27, s_acc: 0.1827, u_acc: 0.2127
epoch:      2, it:      100, loss: 253.44, s_lpx: -249.28, u_lpx: -247.08, s_kl: 5.78, u_kl: 6.14, s_py: -2.30, u_py: -2.30, s_qy: -2.12, s_H: 2.27, u_H: 2.27, s_acc: 0.4836, u_acc: 0.3628
epoch:      3, it:      100, loss: 202.05, s_lpx: -191.85, u_lpx: -191.18, s_kl: 10.46, u_kl: 10.66, s_py: -2.30, u_py: -2.30, s_qy: -1.92, s_H: 2.25, u_H: 2.26, s_acc: 0.6185, u_acc: 0.4603
epoch:      4, it:      100, loss: 175.78, s_lpx: -163.08, u_lpx: -161.46, s_kl: 13.91, u_kl: 14.12, s_py: -2.30, u_py: -2.30, s_qy: -1.80, s_H: 2.24, u_H: 2.26, s_acc: 0.7216, u_acc: 0.5057
epoch:      5, it:      100, loss: 161.05, s_lpx: -145.42, u_lpx: -144.00, s_kl: 16.84, u_kl: 16.87, s_py: -2.30, u_py: -2.30, s_qy: -1.70, s_H: 2.22, u_H: 2.25, s_acc: 0.7784, u_acc: 0.5338
epoch:      6, it:      100, loss: 151.92, s_lpx: -133.83, u_lpx: -132.80, s_kl: 18.92, u_kl: 18.96, s_py: -2.30, u_py: -2.30, s_qy: -1.61, s_H: 2.20, u_H: 2.24, s_acc: 0.8376, u_acc: 0.5487
epoch:      7, it:      100, loss: 145.52, s_lpx: -126.00, u_lpx: -124.71, s_kl: 20.70, u_kl: 20.66, s_py: -2.30, u_py: -2.30, s_qy: -1.55, s_H: 2.19, u_H: 2.23, s_acc: 0.8794, u_acc: 0.5606
epoch:      8, it:      100, loss: 140.63, s_lpx: -118.89, u_lpx: -118.51, s_kl: 22.05, u_kl: 21.99, s_py: -2.30, u_py: -2.30, s_qy: -1.47, s_H: 2.17, u_H: 2.22, s_acc: 0.9258, u_acc: 0.5721
epoch:      9, it:      100, loss: 136.74, s_lpx: -113.85, u_lpx: -113.60, s_kl: 23.17, u_kl: 23.01, s_py: -2.30, u_py: -2.30, s_qy: -1.40, s_H: 2.15, u_H: 2.22, s_acc: 0.9569, u_acc: 0.5774
epoch:     10, it:      100, loss: 133.47, s_lpx: -108.35, u_lpx: -109.54, s_kl: 23.86, u_kl: 23.81, s_py: -2.30, u_py: -2.30, s_qy: -1.36, s_H: 2.13, u_H: 2.21, s_acc: 0.9536, u_acc: 0.5894
epoch: 0010/3000, val_accuracy:0.6078, test_accuracy: 0.5745
epoch:     11, it:      100, loss: 130.75, s_lpx: -105.66, u_lpx: -106.16, s_kl: 24.49, u_kl: 24.47, s_py: -2.30, u_py: -2.30, s_qy: -1.32, s_H: 2.11, u_H: 2.21, s_acc: 0.9479, u_acc: 0.5911
epoch:     12, it:      100, loss: 128.36, s_lpx: -103.47, u_lpx: -103.25, s_kl: 24.98, u_kl: 25.01, s_py: -2.30, u_py: -2.30, s_qy: -1.27, s_H: 2.09, u_H: 2.20, s_acc: 0.9529, u_acc: 0.6002
epoch:     13, it:      100, loss: 126.33, s_lpx: -101.21, u_lpx: -100.81, s_kl: 25.23, u_kl: 25.42, s_py: -2.30, u_py: -2.30, s_qy: -1.24, s_H: 2.08, u_H: 2.19, s_acc: 0.9751, u_acc: 0.6002
