s_qy,u_H,s_acc,s_py,loss,u_acc,u_py,s_H,u_kl,step,epoch,u_lpx,s_kl,s_lpx
-2.5435636043548584,2.2681190967559814,0.07212472707033157,-2.3025851249694824,454.1642150878906,0.1297854334115982,-2.3025851249694824,2.264082670211792,5.81612491607666,49,0,-448.0820617675781,5.989657402038574,-445.44952392578125
-2.3961167335510254,2.274265766143799,0.18274550139904022,-2.3025851249694824,357.1412048339844,0.21265959739685059,-2.3025851249694824,2.272447347640991,4.737757682800293,99,0,-352.15032958984375,4.686588764190674,-351.20892333984375
-2.2451834678649902,2.2756192684173584,0.35261204838752747,-2.3025851249694824,294.8215026855469,0.3038843274116516,-2.3025851249694824,2.2736995220184326,4.684566974639893,149,1,-289.8994445800781,4.432484149932861,-291.2525634765625
-2.1186482906341553,2.270887613296509,0.4835525155067444,-2.3025851249694824,253.4408721923828,0.36276596784591675,-2.3025851249694824,2.267659902572632,6.138603687286377,199,1,-247.076904296875,5.781789779663086,-249.28273010253906
-1.9833265542984009,2.266475200653076,0.5782133936882019,-2.3025851249694824,223.47329711914062,0.42131173610687256,-2.3025851249694824,2.256880521774292,8.529236793518066,249,2,-214.72837829589844,8.300244331359863,-218.56005859375
-1.9226845502853394,2.2632997035980225,0.6184524893760681,-2.3025851249694824,202.0490264892578,0.4603295624256134,-2.3025851249694824,2.2537152767181396,10.663119316101074,299,2,-191.1812286376953,10.4600248336792,-191.84803771972656
-1.8140684366226196,2.2578482627868652,0.7027422189712524,-2.3025851249694824,186.87098693847656,0.48163625597953796,-2.3025851249694824,2.2388129234313965,12.431913375854492,349,3,-174.2457733154297,12.61874008178711,-174.2700958251953
-1.797190546989441,2.255098819732666,0.7215707898139954,-2.3025851249694824,175.7751922607422,0.5056911110877991,-2.3025851249694824,2.2383830547332764,14.118231773376465,399,3,-161.46456909179688,13.906315803527832,-163.08143615722656
-1.7350564002990723,2.250636100769043,0.7887469530105591,-2.3025851249694824,167.48956298828125,0.519266664981842,-2.3025851249694824,2.2283804416656494,15.58358383178711,449,4,-151.7154083251953,15.32192325592041,-152.9541015625
-1.7027479410171509,2.248671293258667,0.7784157395362854,-2.3025851249694824,161.0465545654297,0.5337855219841003,-2.3025851249694824,2.2234127521514893,16.86604881286621,499,4,-143.99656677246094,16.840763092041016,-145.42037963867188
-1.6311856508255005,2.2457501888275146,0.8497679829597473,-2.3025851249694824,156.0594482421875,0.546748697757721,-2.3025851249694824,2.2106592655181885,17.971920013427734,549,5,-137.9200439453125,18.403867721557617,-136.76419067382812
-1.612900972366333,2.2400314807891846,0.8375757336616516,-2.3025851249694824,151.9193115234375,0.5486982464790344,-2.3025851249694824,2.2044928073883057,18.9589900970459,599,5,-132.7958984375,18.92457389831543,-133.8325653076172
-1.5759459733963013,2.236387014389038,0.8632369041442871,-2.3025851249694824,148.4454803466797,0.5571208000183105,-2.3025851249694824,2.19636869430542,19.86159896850586,649,6,-128.4256134033203,19.908456802368164,-129.95559692382812
-1.5488858222961426,2.2313177585601807,0.8793924450874329,-2.3025851249694824,145.52392578125,0.5605652332305908,-2.3025851249694824,2.188051223754883,20.65727996826172,699,6,-124.71438598632812,20.696001052856445,-125.99922943115234
-1.5144072771072388,2.226963520050049,0.9021741151809692,-2.3025851249694824,142.93186950683594,0.5675280094146729,-2.3025851249694824,2.1808156967163086,21.38678741455078,749,7,-121.39653015136719,21.333024978637695,-121.74695587158203
-1.465304970741272,2.2214417457580566,0.9258229732513428,-2.3025851249694824,140.6328582763672,0.5720610618591309,-2.3025851249694824,2.166518211364746,21.98643684387207,799,7,-118.50540161132812,22.054546356201172,-118.88961791992188
-1.4309356212615967,2.2187600135803223,0.9551224708557129,-2.3025851249694824,138.5994415283203,0.5774925351142883,-2.3025851249694824,2.1563644409179688,22.534265518188477,849,8,-115.92903137207031,22.484180450439453,-115.15410614013672
-1.3999929428100586,2.2153823375701904,0.9568794369697571,-2.3025851249694824,136.74142456054688,0.5773559808731079,-2.3025851249694824,2.147054433822632,23.01422882080078,899,8,-113.5968017578125,23.167577743530273,-113.85408782958984
-1.3763782978057861,2.2131261825561523,0.9509291052818298,-2.3025851249694824,135.19003295898438,0.5860546827316284,-2.3025851249694824,2.1364622116088867,23.465208053588867,949,9,-111.59352111816406,23.581897735595703,-113.50325775146484
-1.3592112064361572,2.211310386657715,0.953600287437439,-2.3025851249694824,133.46823120117188,0.5894259214401245,-2.3025851249694824,2.12884259223938,23.80613136291504,999,9,-109.5419692993164,23.862396240234375,-108.34741973876953
-1.2917052507400513,2.2082679271698,0.9625130891799927,-2.3025851249694824,132.05783081054688,0.5894562602043152,-2.3025851249694824,2.1063013076782227,24.15314292907715,1049,10,-107.78932189941406,24.172409057617188,-106.81514739990234
-1.3219342231750488,2.205986738204956,0.9479243159294128,-2.3025851249694824,130.7464141845703,0.5910971760749817,-2.3025851249694824,2.1144559383392334,24.468984603881836,1099,10,-106.16053771972656,24.494783401489258,-105.65666961669922
-1.2889105081558228,2.203437566757202,0.961388349533081,-2.3025851249694824,129.5841064453125,0.5997064113616943,-2.3025851249694824,2.1008012294769287,24.755781173706055,1149,11,-104.71651458740234,24.838855743408203,-105.36949157714844
-1.2747498750686646,2.1996912956237793,0.9528928995132446,-2.3025851249694824,128.36477661132812,0.6001806259155273,-2.3025851249694824,2.0941338539123535,25.008005142211914,1199,11,-103.25031280517578,24.984338760375977,-103.46686553955078
-1.2218900918960571,2.1943154335021973,0.9714999198913574,-2.3025851249694824,127.33977508544922,0.6018041372299194,-2.3025851249694824,2.0719170570373535,25.240501403808594,1249,12,-101.9976806640625,25.370508193969727,-102.88002014160156
-1.2419323921203613,2.1910202503204346,0.9751338362693787,-2.3025851249694824,126.3340835571289,0.6001877188682556,-2.3025851249694824,2.0769271850585938,25.422607421875,1299,12,-100.808349609375,25.226781845092773,-101.20845031738281
