s_py,u_H,epoch,u_py,s_H,u_acc,s_lpx,loss,s_kl,step,u_kl,s_qy,s_acc,u_lpx
-2.3025853633880615,2.247112989425659,0,-2.3025848865509033,2.246230125427246,0.0960879921913147,-77.66484832763672,81.21955871582031,4.226953029632568,49,4.155396461486816,-2.171555519104004,0.28562602400779724,-75.86371612548828
-2.3025853633880615,2.2591590881347656,0,-2.3025848865509033,2.2583975791931152,0.10101968050003052,-74.5484619140625,77.50028991699219,2.709153652191162,99,2.66898250579834,-2.23127818107605,0.20668309926986694,-73.62726593017578
-2.3025853633880615,2.267622947692871,0,-2.3025848865509033,2.2671597003936768,0.10409286618232727,-72.68473052978516,75.17684173583984,1.7717993259429932,149,1.7500147819519043,-2.255737781524658,0.17140686511993408,-72.22758483886719
-2.3025853633880615,2.273294687271118,0,-2.3025848865509033,2.2730984687805176,0.117662712931633,-71.58958435058594,73.72399139404297,1.205420970916748,199,1.1961846351623535,-2.274205446243286,0.15906786918640137,-71.32953643798828
-2.3025853633880615,2.276052236557007,1,-2.3025848865509033,2.275804042816162,0.12582279741764069,-71.11804962158203,72.81794738769531,0.8853035569190979,249,0.8792163729667664,-2.260178565979004,0.1850394755601883,-70.75076293945312
-2.3025853633880615,2.2751002311706543,1,-2.3025848865509033,2.275050401687622,0.13198012113571167,-70.6822509765625,72.23754119873047,0.7109845280647278,299,0.7114498019218445,-2.2585365772247314,0.187651127576828,-70.34014892578125
-2.3025853633880615,2.276538848876953,1,-2.3025848865509033,2.2766146659851074,0.15126140415668488,-70.12181091308594,71.91584014892578,0.6192276477813721,349,0.6346988677978516,-2.2564303874969482,0.1815401315689087,-70.1051254272461
-2.3025853633880615,2.276258707046509,1,-2.3025848865509033,2.2760210037231445,0.14785625040531158,-69.89237976074219,71.70233917236328,0.5900660157203674,399,0.6067797541618347,-2.248443365097046,0.17177429795265198,-69.92652130126953
-2.3025853633880615,2.275554895401001,2,-2.3025848865509033,2.274667501449585,0.1463356763124466,-69.75817108154297,71.54424285888672,0.5863798260688782,449,0.6074200868606567,-2.2403860092163086,0.18102630972862244,-69.77352905273438
-2.3025853633880615,2.274827480316162,2,-2.3025848865509033,2.274083375930786,0.15560735762119293,-69.73686218261719,71.43894958496094,0.6037996411323547,499,0.6278038620948792,-2.231221914291382,0.19338570535182953,-69.65296173095703
