s_py,u_acc,u_py,epoch,u_lpx,s_H,s_qy,s_acc,u_kl,u_H,loss,step,s_lpx,s_kl
-2.3025853633880615,0.13435335457324982,-2.3025853633880615,0,-22.761430740356445,2.1788406372070312,-2.546590805053711,0.06834056228399277,3.6154580116271973,2.188711643218994,26.79296875,49,-22.924598693847656,3.656036138534546
-2.3025853633880615,0.24296708405017853,-2.3025853633880615,0,-22.206401824951172,2.2233762741088867,-2.396805763244629,0.2026190161705017,2.266569137573242,2.229336977005005,24.82939910888672,99,-22.261693954467773,2.2912354469299316
-2.3025853633880615,0.3654170632362366,-2.3025853633880615,0,-21.84912872314453,2.2490193843841553,-2.2815487384796143,0.3320513665676117,1.433184266090393,2.252347946166992,23.600950241088867,149,-21.870403289794922,1.4469797611236572
-2.3025853633880615,0.478785902261734,-2.3025853633880615,0,-21.62691307067871,2.262265920639038,-2.1800177097320557,0.4696972966194153,0.9246182441711426,2.2646193504333496,22.84361457824707,199,-21.62268829345703,0.9329631328582764
-2.3025853633880615,0.5686745643615723,-2.3025853633880615,1,-21.514760971069336,2.268052339553833,-2.0935447216033936,0.5825471878051758,0.6159408092498779,2.2696869373321533,22.40395164489746,249,-21.50918197631836,0.6204240322113037
-2.3025853633880615,0.627702534198761,-2.3025853633880615,1,-21.427242279052734,2.267993688583374,-2.024808645248413,0.6461998820304871,0.43023228645324707,2.270134210586548,22.11579704284668,299,-21.389102935791016,0.43220600485801697
-2.3025853633880615,0.6840069890022278,-2.3025853633880615,1,-21.368982315063477,2.268059730529785,-1.9838567972183228,0.6866759657859802,0.31949174404144287,2.2679665088653564,21.933671951293945,349,-21.2061767578125,0.31770119071006775
-2.3025853633880615,0.7180224061012268,-2.3025853633880615,1,-21.338115692138672,2.2636003494262695,-1.9349879026412964,0.7132474184036255,0.25410693883895874,2.263681650161743,21.82733154296875,399,-21.192943572998047,0.25214043259620667
-2.3025853633880615,0.7425379157066345,-2.3025853633880615,2,-21.30510711669922,2.2566440105438232,-1.881927251815796,0.7378277778625488,0.21647797524929047,2.257425546646118,21.745107650756836,449,-21.128087997436523,0.21407702565193176
-2.3025853633880615,0.7672410607337952,-2.3025853633880615,2,-21.294267654418945,2.2507741451263428,-1.8419629335403442,0.7631555199623108,0.19675379991531372,2.250276803970337,21.703397750854492,499,-21.044740676879883,0.19067136943340302
-2.3025853633880615,0.7848089337348938,-2.3025853633880615,2,-21.29762077331543,2.243361711502075,-1.800846815109253,0.7809603810310364,0.1873071789741516,2.2420647144317627,21.681949615478516,549,-20.866130828857422,0.17744767665863037
-2.3025853633880615,0.7927327752113342,-2.3025853633880615,2,-21.30137825012207,2.230621814727783,-1.7497563362121582,0.8066763877868652,0.18509070575237274,2.231963872909546,21.671663284301758,599,-20.90541648864746,0.17473997175693512
-2.3025853633880615,0.7999667525291443,-2.3025853633880615,3,-21.304872512817383,2.2200257778167725,-1.7086223363876343,0.8079545497894287,0.1883731484413147,2.220592737197876,21.66350746154785,649,-20.86221694946289,0.1770109087228775
-2.3025853633880615,0.8029915690422058,-2.3025853633880615,3,-21.29172134399414,2.2053794860839844,-1.6626856327056885,0.8204185962677002,0.1934082955121994,2.207639455795288,21.639890670776367,699,-20.836503982543945,0.17874547839164734
-2.3025853633880615,0.8146896362304688,-2.3025853633880615,3,-21.296188354492188,2.194958209991455,-1.6325355768203735,0.818565309047699,0.19977523386478424,2.1935019493103027,21.632736206054688,749,-20.678974151611328,0.1797782927751541
-2.3025853633880615,0.8218710422515869,-2.3025853633880615,3,-21.294771194458008,2.1771175861358643,-1.5850547552108765,0.8245384097099304,0.20606334507465363,2.178941011428833,21.617053985595703,799,-20.58563804626465,0.18448908627033234
-2.3025853633880615,0.8286071419715881,-2.3025853633880615,4,-21.307809829711914,2.1583237648010254,-1.5299900770187378,0.8347470164299011,0.21217872202396393,2.161898612976074,21.613235473632812,849,-20.439294815063477,0.18632306158542633
-2.3025853633880615,0.8304347991943359,-2.3025853633880615,4,-21.30093002319336,2.1405982971191406,-1.495204210281372,0.8341575264930725,0.21881966292858124,2.142350196838379,21.590858459472656,899,-20.444692611694336,0.1895734667778015
-2.3025853633880615,0.8355709910392761,-2.3025853633880615,4,-21.32065773010254,2.1208174228668213,-1.463934302330017,0.826921820640564,0.22618331015110016,2.1221365928649902,21.592548370361328,949,-20.400806427001953,0.19230763614177704
-2.3025853633880615,0.8366536498069763,-2.3025853633880615,4,-21.34584617614746,2.0957605838775635,-1.412428855895996,0.8367220759391785,0.23281124234199524,2.098750352859497,21.596811294555664,999,-20.450008392333984,0.20247308909893036
-2.3025853633880615,0.8417976498603821,-2.3025853633880615,5,-21.36541175842285,2.064159870147705,-1.3593426942825317,0.8382689952850342,0.2373572587966919,2.0723774433135986,21.58763313293457,1049,-20.38882827758789,0.20325055718421936
-2.3025853633880615,0.8437084555625916,-2.3025853633880615,5,-21.382009506225586,2.036360502243042,-1.3140490055084229,0.8444812297821045,0.2416181117296219,2.044344663619995,21.570520401000977,1099,-20.30946922302246,0.2043834775686264
-2.3025853633880615,0.8469372391700745,-2.3025853633880615,5,-21.405065536499023,2.001277446746826,-1.2615231275558472,0.8540540337562561,0.24718372523784637,2.0108258724212646,21.55288314819336,1149,-20.19609260559082,0.20570632815361023
-2.3025853633880615,0.847457230091095,-2.3025853633880615,5,-21.428064346313477,1.9685919284820557,-1.220401644706726,0.8604883551597595,0.253984272480011,1.9749906063079834,21.535869598388672,1199,-20.143699645996094,0.20987550914287567
-2.3025853633880615,0.849291980266571,-2.3025853633880615,6,-21.47913932800293,1.931147575378418,-1.1734529733657837,0.8658311367034912,0.25996142625808716,1.9332560300827026,21.532651901245117,1249,-20.02968406677246,0.21001778542995453
-2.3025853633880615,0.8511183261871338,-2.3025853633880615,6,-21.517990112304688,1.8772670030593872,-1.112787127494812,0.8681365251541138,0.2669433653354645,1.8873263597488403,21.509443283081055,1299,-19.961315155029297,0.21397410333156586
-2.3025853633880615,0.8550971746444702,-2.3025853633880615,6,-21.582128524780273,1.8205389976501465,-1.0519225597381592,0.8697860240936279,0.2756498456001282,1.8333501815795898,21.504215240478516,1349,-19.943151473999023,0.21967589855194092
-2.3025853633880615,0.8564856648445129,-2.3025853633880615,6,-21.651296615600586,1.7620333433151245,-1.0068095922470093,0.8660901188850403,0.28483670949935913,1.7750964164733887,21.492807388305664,1399,-19.89505386352539,0.22762972116470337
-2.3025853633880615,0.8592273592948914,-2.3025853633880615,7,-21.73539924621582,1.6985489130020142,-0.9346607327461243,0.8853727579116821,0.2936748266220093,1.7108485698699951,21.46954345703125,1449,-19.797046661376953,0.23082475364208221
-2.3025853633880615,0.8597037196159363,-2.3025853633880615,7,-21.841196060180664,1.6270596981048584,-0.8910819292068481,0.8726657032966614,0.3016851842403412,1.6421492099761963,21.45065689086914,1499,-19.70509910583496,0.23492097854614258
-2.3025853633880615,0.8618089556694031,-2.3025853633880615,7,-21.973155975341797,1.5588257312774658,-0.8534153699874878,0.8704681992530823,0.30978843569755554,1.5629678964614868,21.435808181762695,1549,-19.584434509277344,0.2397441267967224
-2.3025853633880615,0.8640835881233215,-2.3025853633880615,7,-22.114593505859375,1.4803019762039185,-0.8047411441802979,0.8677014112472534,0.3202792704105377,1.483046293258667,21.401363372802734,1599,-19.60814666748047,0.2507093548774719
-2.3025853633880615,0.8662261366844177,-2.3025853633880615,8,-22.288005828857422,1.4025170803070068,-0.7435788512229919,0.8805596828460693,0.3316347002983093,1.397049903869629,21.374601364135742,1649,-19.469261169433594,0.25248128175735474
-2.3025853633880615,0.8683143258094788,-2.3025853633880615,8,-22.458240509033203,1.2990678548812866,-0.6904703974723816,0.8806072473526001,0.34509557485580444,1.314191460609436,21.334903717041016,1699,-19.420623779296875,0.2681591212749481
-2.3025853633880615,0.8665497899055481,-2.3025853633880615,8,-22.669986724853516,1.22337806224823,-0.6587801575660706,0.8699659109115601,0.3624739646911621,1.228721022605896,21.31319236755371,1749,-19.29160499572754,0.27144187688827515
-2.3025853633880615,0.8667845726013184,-2.3025853633880615,8,-22.888687133789062,1.150830626487732,-0.6227089762687683,0.8630750775337219,0.38254261016845703,1.1499950885772705,21.31020736694336,1799,-19.289077758789062,0.2850319445133209
-2.3025853633880615,0.8670445084571838,-2.3025853633880615,9,-23.07960319519043,1.0978107452392578,-0.6044117212295532,0.8575531840324402,0.4045359194278717,1.0775763988494873,21.279342651367188,1849,-19.27519416809082,0.3018704056739807
-2.3025853633880615,0.8665568232536316,-2.3025853633880615,9,-23.27684211730957,1.0085532665252686,-0.5524638295173645,0.8741540908813477,0.431484580039978,1.0085177421569824,21.26396369934082,1899,-19.15359878540039,0.3171510398387909
