epoch,s_py,s_lpx,s_kl,u_py,s_qy,step,loss,u_H,u_acc,u_kl,s_acc,u_lpx,s_H
29,-2.3025851249694824,-18.446979522705078,0.5862345695495605,-2.3025851249694824,-0.2627810537815094,2949,21.10601806640625,0.6476642489433289,0.8488778471946716,0.8023684620857239,0.939192533493042,-24.274120330810547,0.5317134261131287
29,-2.3025851249694824,-18.391952514648438,0.6078567504882812,-2.3025851249694824,-0.26085880398750305,2999,21.09404945373535,0.6343103647232056,0.8494754433631897,0.8372347950935364,0.9537963271141052,-24.303974151611328,0.5465302467346191
30,-2.3025851249694824,-18.501890182495117,0.6509153246879578,-2.3025851249694824,-0.2599611282348633,3049,21.09667205810547,0.6221969127655029,0.8479087948799133,0.8727895021438599,0.9455080032348633,-24.329072952270508,0.5408000946044922
30,-2.3025851249694824,-18.429134368896484,0.6555808186531067,-2.3025851249694824,-0.24428927898406982,3099,21.083459854125977,0.6097564697265625,0.8498679995536804,0.9164024591445923,0.9535146951675415,-24.34465980529785,0.5262165069580078
31,-2.3025851249694824,-18.26921844482422,0.6821660995483398,-2.3025851249694824,-0.22773544490337372,3149,21.06477165222168,0.5976996421813965,0.8510076403617859,0.9640453457832336,0.9457473158836365,-24.361398696899414,0.5106905698776245
31,-2.3025851249694824,-18.533994674682617,0.7259569764137268,-2.3025851249694824,-0.25661396980285645,3199,21.079748153686523,0.5880581140518188,0.851693332195282,1.0134296417236328,0.951921820640564,-24.361852645874023,0.5191904306411743
32,-2.3025851249694824,-18.26816749572754,0.7558348178863525,-2.3025851249694824,-0.26399779319763184,3249,21.081392288208008,0.5779359340667725,0.8502814173698425,1.0635446310043335,0.9407641887664795,-24.37118911743164,0.5006188750267029
32,-2.3025851249694824,-18.3858699798584,0.7863492965698242,-2.3025851249694824,-0.2383611649274826,3299,21.072450637817383,0.5682473182678223,0.8516470193862915,1.1089016199111938,0.9563837647438049,-24.377653121948242,0.49364185333251953
33,-2.3025851249694824,-18.182445526123047,0.853423535823822,-2.3025851249694824,-0.2535095810890198,3349,21.056665420532227,0.5602680444717407,0.8515265583992004,1.1573896408081055,0.940263569355011,-24.371047973632812,0.49471643567085266
33,-2.3025851249694824,-18.100404739379883,0.8504433631896973,-2.3025851249694824,-0.23715834319591522,3399,21.052635192871094,0.5506191253662109,0.8525355458259583,1.2150341272354126,0.9491063952445984,-24.37725830078125,0.4697956144809723
34,-2.3025851249694824,-18.035011291503906,0.9286758303642273,-2.3025851249694824,-0.23910167813301086,3449,21.037189483642578,0.5413692593574524,0.8532446026802063,1.2673070430755615,0.9433212280273438,-24.389041900634766,0.45935454964637756
34,-2.3025851249694824,-18.021825790405273,0.9249313473701477,-2.3025851249694824,-0.2321600615978241,3499,21.030593872070312,0.5355731248855591,0.8502104878425598,1.316111445426941,0.9476926922798157,-24.367618560791016,0.42951107025146484
35,-2.3025851249694824,-18.085102081298828,0.9776609539985657,-2.3025851249694824,-0.2786491811275482,3549,21.02422332763672,0.5271471738815308,0.8508822917938232,1.360644817352295,0.9264349341392517,-24.36861228942871,0.441684752702713
35,-2.3025851249694824,-17.949565887451172,1.001175045967102,-2.3025851249694824,-0.2441169023513794,3599,21.028549194335938,0.5221027731895447,0.8500540852546692,1.4020960330963135,0.9386597275733948,-24.368549346923828,0.44267889857292175
36,-2.3025851249694824,-18.042062759399414,0.987203061580658,-2.3025851249694824,-0.21509191393852234,3649,21.01848030090332,0.515873908996582,0.8507483601570129,1.4408220052719116,0.9454416036605835,-24.354820251464844,0.4266161024570465
36,-2.3025851249694824,-17.935216903686523,1.0363801717758179,-2.3025851249694824,-0.24575084447860718,3699,21.02542495727539,0.5104953646659851,0.8504952788352966,1.4762910604476929,0.9475769996643066,-24.358999252319336,0.4435240924358368
37,-2.3025851249694824,-17.720273971557617,1.094948172569275,-2.3025851249694824,-0.222381591796875,3749,21.01961326599121,0.5044823884963989,0.8506413102149963,1.5097852945327759,0.9611782431602478,-24.373258590698242,0.44223397970199585
37,-2.3025851249694824,-17.960044860839844,1.104819893836975,-2.3025851249694824,-0.21926313638687134,3799,21.01910400390625,0.4991928040981293,0.8510381579399109,1.5367079973220825,0.9431160688400269,-24.375255584716797,0.4174599349498749
38,-2.3025851249694824,-18.018463134765625,1.157222867012024,-2.3025851249694824,-0.21692106127738953,3849,21.00914764404297,0.49368593096733093,0.85297691822052,1.5696548223495483,0.940163791179657,-24.378995895385742,0.39945903420448303
38,-2.3025851249694824,-17.66678237915039,1.1200612783432007,-2.3025851249694824,-0.223043754696846,3899,21.007102966308594,0.4896378815174103,0.8500999808311462,1.6004383563995361,0.948019802570343,-24.379728317260742,0.42450228333473206
39,-2.3025851249694824,-17.659637451171875,1.1669375896453857,-2.3025851249694824,-0.24569585919380188,3949,21.008895874023438,0.48613396286964417,0.8492896556854248,1.6392141580581665,0.9435047507286072,-24.348342895507812,0.40781259536743164
39,-2.3025851249694824,-17.547725677490234,1.167361855506897,-2.3025851249694824,-0.22604653239250183,3999,21.011857986450195,0.4830663800239563,0.8500651121139526,1.6646301746368408,0.9484358429908752,-24.348522186279297,0.41381269693374634
40,-2.3025851249694824,-17.702762603759766,1.1767942905426025,-2.3025851249694824,-0.24101810157299042,4049,21.0168514251709,0.4786519408226013,0.8504459857940674,1.6875171661376953,0.9174174666404724,-24.346481323242188,0.39336687326431274
40,-2.3025851249694824,-17.575153350830078,1.2083829641342163,-2.3025851249694824,-0.22529694437980652,4099,21.00581932067871,0.47619685530662537,0.8486701846122742,1.713761329650879,0.9359226226806641,-24.33689308166504,0.4146023094654083
41,-2.3025851249694824,-17.608448028564453,1.24042546749115,-2.3025851249694824,-0.24639137089252472,4149,21.00277328491211,0.4723120629787445,0.8492681384086609,1.7408530712127686,0.9222041368484497,-24.364282608032227,0.41891103982925415
41,-2.3025851249694824,-17.613811492919922,1.201981782913208,-2.3025851249694824,-0.21498426795005798,4199,21.006572723388672,0.47009584307670593,0.8492050766944885,1.765150547027588,0.946175754070282,-24.357587814331055,0.4044344425201416
42,-2.3025851249694824,-17.546329498291016,1.2428339719772339,-2.3025851249694824,-0.1859797239303589,4249,20.996044158935547,0.46665188670158386,0.8497018814086914,1.7965365648269653,0.9574359655380249,-24.340179443359375,0.38010674715042114
42,-2.3025851249694824,-17.662002563476562,1.2668181657791138,-2.3025851249694824,-0.21057461202144623,4299,20.990440368652344,0.46318376064300537,0.8491546511650085,1.829548954963684,0.9469587206840515,-24.330732345581055,0.3904653489589691
43,-2.3025851249694824,-17.472246170043945,1.2456735372543335,-2.3025851249694824,-0.2031829059123993,4349,20.98275375366211,0.46022921800613403,0.8495554327964783,1.8604683876037598,0.9522886276245117,-24.3347110748291,0.3889864981174469
